date,heure,produit,prix,url
2025-04-05,09:00:01,Fjallraven Backpack,109.95,https://fakestoreapi.com/products/1
2025-04-05,09:00:02,Casual Premium T-Shirt,22.30,https://fakestoreapi.com/products/2
2025-04-05,09:00:03,Cotton T-Shirt,55.99,https://fakestoreapi.com/products/3
2025-04-06,09:00:01,Fjallraven Backpack,112.50,https://fakestoreapi.com/products/1
2025-04-06,09:00:02,Casual Premium T-Shirt,20.99,https://fakestoreapi.com/products/2
2025-04-06,09:00:03,Cotton T-Shirt,55.99,https://fakestoreapi.com/products/3
2025-04-07,09:00:01,Fjallraven Backpack,108.75,https://fakestoreapi.com/products/1
2025-04-07,09:00:02,Casual Premium T-Shirt,21.50,https://fakestoreapi.com/products/2
2025-04-07,09:00:03,Cotton T-Shirt,57.99,https://fakestoreapi.com/products/3
2025-04-08,09:00:01,Fjallraven Backpack,115.00,https://fakestoreapi.com/products/1
2025-04-08,09:00:02,Casual Premium T-Shirt,19.99,https://fakestoreapi.com/products/2
2025-04-08,09:00:03,Cotton T-Shirt,57.99,https://fakestoreapi.com/products/3
2025-04-09,09:00:01,Fjallraven Backpack,113.20,https://fakestoreapi.com/products/1
2025-04-09,09:00:02,Casual Premium T-Shirt,22.00,https://fakestoreapi.com/products/2
2025-04-09,09:00:03,Cotton T-Shirt,54.99,https://fakestoreapi.com/products/3
2025-04-10,09:00:01,Fjallraven Backpack,110.00,https://fakestoreapi.com/products/1
2025-04-10,09:00:02,Casual Premium T-Shirt,23.50,https://fakestoreapi.com/products/2
2025-04-10,09:00:03,Cotton T-Shirt,56.49,https://fakestoreapi.com/products/3
