Annee,Cameroun,Nigeria,Afrique du Sud,Ghana,Sénégal,Kenya,Côte d'Ivoire,Éthiopie
1990,0.0,0.0,,,,,,
1995,,,0.677,0.000348,0.000693,0.000727,0.0002,
1996,,0.00883,0.842,0.00565,0.0112,0.00884,0.00841,0.0017
1997,0.00677,0.0172,1.63,0.0275,0.0273,0.0344,0.0188,0.00497
1998,0.0132,0.0252,2.91,0.0322,0.0799,0.0503,0.061,0.00966
1999,0.129,0.041,4.12,0.105,0.311,0.114,0.119,0.0125
2000,0.252120077733662,0.0640808079494101,5.34855973203537,0.153615297625799,0.403967485868965,0.318059713612037,0.231461670612799,0.0152637672082567
2001,0.277051321848797,0.089901370457273,6.34661931839768,0.200008060324831,0.983794058848003,0.619782266151425,0.395747702246439,0.0371623810686744
2002,0.360871584267755,0.320461975542327,6.71032243705404,0.830284033818738,1.00645453672323,1.20777388492125,0.497929360753307,0.0724022618698295
2003,0.587622611130454,0.558576244860521,7.00769172611251,1.19305791098328,2.10143642986685,2.94190286101524,0.758669629452205,0.105811658802603
2004,0.976075415490902,1.28613764134527,8.4251186825406,1.71679770389504,4.38602398008563,3.0235280420962,0.849282414747704,0.155334520794722
2005,1.402699947,3.54915571796492,7.48854252992921,1.83119746104616,4.78668408310535,3.101900101,1.039199948,0.219659818999505
2006,2.028700113,5.54503608300536,7.60713967477381,2.72317597313987,5.61173865217952,3.599999905,1.52489996,0.310592656856176
2007,2.93,6.769999981,8.06537517355504,3.85,6.889999866,4.400000095,1.799999952,0.37
2008,3.400000095,8.0,8.43,4.27,7.119999886,5.199999809,1.899999976,0.449999988
2009,3.84,9.300000191,10.0,5.44,7.5,6.1,2.0,0.540000021
2010,4.300000191,11.5,24.0,7.8,8.0,7.2,2.700000048,0.75
2011,5.0,13.80000019,33.97,9.0,9.800000191,8.800000191,2.900000095,1.100000024
2012,7.5,16.10000038,41.0,10.6,10.80000019,10.5,4.400000095,2.900000095
2013,10.0,19.10000038,46.5,15.0,13.10000038,13.0,6.599999905,4.599999905
2014,16.2148722257524,21.0,49.0,19.0,17.70000076,16.5,10.0,7.699999809
2015,18.29999924,22.51420021,51.91910172,23.0,21.70000076,16.5878548475992,38.4400001654616,13.8551755555556
2016,20.60000038,24.13750076,54.0,28.0,25.66480064,16.6,41.2078149304414,15.3669238595896
2017,23.2029719748646,25.87789917,56.16740036,37.88420105,29.64310074,17.82710075,43.8399208514876,15.62440014
2018,29.70000076,27.74370003,62.40000153,43.0,35.29999924,19.5,37.5465361301281,15.88619995
2019,36.53919983,29.74410057,69.69689941,22.0732,43.37969971,22.6687733618171,36.2889545655205,15.98460007
2020,37.69749832,31.88879967,72.1128006,62.51760101,53.30879974,24.7227993,36.01660156,16.06959915
2021,38.89260101,35.50979996,74.96859741,68.6,55.04040146,26.96290016,35.95069885,16.6981031
2022,40.12559891,39.14720154,78.29319763,69.91329956,56.82830048,29.40589905,38.41328122,17.9836998
2023,42.24380112,40.06399918,78.33670044,70.67430115,59.18740082,32.07040024,40.65284979,20.33749962
2024,46.25880051,41.21139908,78.35759735,72.17569733,60.11780167,34.97622513,41.43219902,21.94129944
